Food_Item,Calories,Protein_g,Fat_g,Carbs_g
"beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",171.0,30.58 g,5.37 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast",195.0,28.33 g,8.76 g,0.82 g
"yogurt, fortified with vitamin d, sweetened with low-calorie sweetener, nonfat milk, vanilla or lemon flavor",43.0,3.86 g,0.18 g,7.50 g
"lamb, roasted, cooked, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, new zealand",246.0,24.81 g,15.56 g,0.00 g
"pork, pan-broiled, cooked, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",169.0,28.95 g,5.00 g,0.00 g
"beef, raw, separable lean and fat, boneless, ribeye steak/roast lip-on, rib, grass-fed, imported, australian",217.0,19.80 g,15.21 g,0.11 g
"beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",207.0,27.97 g,10.57 g,0.00 g
"beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",225.0,32.21 g,10.74 g,0.00 g
"beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",211.0,31.86 g,9.34 g,0.00 g
"beef, broiled, cooked, usda choice, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",283.0,23.61 g,20.15 g,0.00 g
"beef, broiled, cooked, usda select, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",267.0,24.47 g,17.98 g,0.00 g
"fruit cocktail, solids and liquids, heavy syrup, canned, (peach and pineapple and pear and grape and cherry)",73.0,0.39 g,0.07 g,18.91 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",220.0,27.51 g,12.26 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",194.0,27.70 g,9.29 g,0.00 g
"lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, frozen, imported, new zealand",258.0,26.97 g,15.83 g,0.00 g
"beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",221.0,27.40 g,12.43 g,0.00 g
"beverages, prepared with water and ice, powder, with aspartame, reduced calorie, chocolate, dairy drink mix",29.0,2.19 g,0.23 g,4.51 g
"fruit salad, solids and liquids, heavy syrup, canned, tropical, (pineapple and papaya and banana and guava)",86.0,0.41 g,0.10 g,22.36 g
"beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",276.0,23.96 g,19.27 g,0.00 g
"beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",273.0,24.83 g,19.25 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",303.0,22.92 g,23.52 g,0.00 g
"beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",303.0,23.92 g,22.98 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",211.0,26.05 g,11.07 g,0.00 g
"beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",162.0,30.09 g,3.77 g,0.00 g
"infant formula, with dha and ara, not reconstituted, powder, with iron, alimentum advance, abbott nutrition",517.0,13.99 g,28.19 g,51.91 g
"fruit cocktail, solids and liquids, juice pack, canned, (peach and pineapple and pear and grape and cherry)",46.0,0.46 g,0.01 g,11.86 g
"beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",142.0,21.59 g,5.53 g,0.00 g
"beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",206.0,28.11 g,10.37 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",291.0,27.03 g,20.28 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",268.0,28.65 g,17.10 g,0.00 g
"beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",291.0,25.85 g,20.04 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",341.0,22.54 g,27.14 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",188.0,26.88 g,8.13 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",162.0,26.61 g,5.32 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",231.0,27.12 g,13.64 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",177.0,27.51 g,7.49 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",162.0,30.09 g,3.77 g,0.00 g
"beef, grilled, cooked, all grades,  trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",213.0,28.16 g,10.32 g,0.00 g
"fruit salad, solids and liquids, light syrup, canned, (peach and pear and apricot and pineapple and cherry)",58.0,0.34 g,0.07 g,15.14 g
"fruit salad, solids and liquids, heavy syrup, canned, (peach and pear and apricot and pineapple and cherry)",73.0,0.34 g,0.07 g,19.11 g
"beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",213.0,27.10 g,11.20 g,0.90 g
"beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",239.0,26.80 g,14.10 g,1.10 g
"beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",198.0,30.70 g,8.32 g,0.00 g
"pork, broiled, cooked, with added solution, separable lean and fat, boneless, top loin (chops), loin, fresh",198.0,28.33 g,9.42 g,0.02 g
"beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",277.0,24.85 g,19.68 g,0.00 g
"lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, australian",131.0,23.11 g,4.33 g,0.00 g
"lamb, cooked, choice, trimmed to 1/4"" fat, separable lean only, composite of trimmed retail cuts, domestic",206.0,28.22 g,9.52 g,0.00 g
"lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",267.0,16.88 g,21.59 g,0.00 g
"beef, raw, separable lean and fat, boneless, tenderloin steak/roast, loin, grass-fed, imported, australian",151.0,20.53 g,7.63 g,0.01 g
"beef, raw, separable lean only, boneless, bottom round steak/roast, round, grass-fed, imported, australian",130.0,21.40 g,4.93 g,0.00 g
"beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",166.0,29.94 g,4.26 g,0.00 g
"beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye roast",290.0,23.36 g,21.85 g,0.00 g
"beef, raw, select, trimmed to 0"" fat, separable lean only, america's beef roast, boneless, chuck eye roast",133.0,20.52 g,5.71 g,0.00 g
"beef, raw, choice, trimmed to 0"" fat, separable lean only, america's beef roast, boneless, chuck eye roast",139.0,20.67 g,6.21 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, bottom round, round",218.0,26.41 g,11.64 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",208.0,28.31 g,9.65 g,0.00 g
"beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",145.0,21.19 g,6.51 g,0.39 g
"margarine, stick, soybean and partially hydrogenated soybean, 70% fat, margarine-type vegetable oil spread",628.0,0.26 g,70.22 g,1.53 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",223.0,30.64 g,11.16 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",242.0,29.56 g,13.72 g,0.00 g
"beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",157.0,29.52 g,3.43 g,0.00 g
"lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",243.0,17.54 g,18.66 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",217.0,27.48 g,11.05 g,0.00 g
"beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",157.0,30.97 g,3.72 g,0.00 g
"fruit salad, solids and liquids, water pack, canned, (peach and pear and apricot and pineapple and cherry)",30.0,0.35 g,0.07 g,7.87 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",217.0,30.21 g,9.71 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",202.0,30.93 g,7.70 g,0.00 g
"lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, fresh, imported, australian",236.0,24.78 g,14.44 g,0.00 g
"beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye roast",307.0,23.53 g,23.61 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak",313.0,22.71 g,24.70 g,0.00 g
"beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak",304.0,23.19 g,23.47 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",162.0,29.70 g,3.85 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",170.0,30.12 g,4.62 g,0.00 g
"beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",206.0,28.45 g,9.35 g,0.00 g
"beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",134.0,21.03 g,5.41 g,0.19 g
"infant formula, with ara and dha, liquid concentrate, (lactose free), sensitive, similac, abbott nutrition",128.0,2.73 g,6.95 g,13.64 g
"fruit salad, solids and liquids, juice pack, canned, (peach and pear and apricot and pineapple and cherry)",50.0,0.51 g,0.03 g,13.05 g
"gelatin desserts, vitamin c, sodium, potassium, added phosphorus, with aspartame, reduced calorie, dry mix",345.0,55.30 g,0.00 g,33.30 g
"beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",204.0,31.03 g,8.92 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",248.0,26.29 g,15.90 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",285.0,23.89 g,21.10 g,0.00 g
"lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, bottom, leg, fresh, imported, australian",187.0,20.97 g,11.43 g,0.00 g
"lamb, braised, cooked, separable lean only, whole (arm and blade), shoulder, frozen, imported, new zealand",285.0,34.06 g,15.50 g,0.00 g
"beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), eye, rib",265.0,26.58 g,16.76 g,0.00 g
"beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",247.0,32.76 g,11.87 g,0.00 g
"beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",199.0,21.29 g,12.68 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",158.0,29.94 g,4.26 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",149.0,29.52 g,3.43 g,0.00 g
"beverages, added calcium, high vitamin c, greater than 3% fruit juice, reduced sugar, fruit flavored drink",29.0,0.00 g,0.37 g,6.67 g
"beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",163.0,30.08 g,4.79 g,0.00 g
"beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",188.0,27.26 g,8.82 g,0.00 g
"beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",174.0,27.38 g,7.12 g,0.00 g
"lamb, slow roasted, cooked, separable lean only, boneless, rolled, netted shoulder, imported, new zealand",199.0,25.14 g,10.91 g,0.00 g
"beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",222.0,30.91 g,10.91 g,0.00 g
"beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",215.0,32.01 g,9.66 g,0.00 g
"beef, raw, separable lean only, boneless, ribeye steak/roast lip-on, rib, grass-fed, imported, australian",160.0,21.47 g,8.20 g,0.00 g
"beverages, prepared with whole milk, with added nutrients, powder, chocolate-flavor beverage mix for milk",89.0,3.27 g,3.17 g,11.87 g
"beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",187.0,21.10 g,11.30 g,0.30 g
"beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib eye",234.0,27.95 g,12.71 g,0.00 g
"lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, tenderloin, fresh, imported, australian",143.0,23.23 g,5.52 g,0.00 g
"beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",263.0,26.21 g,16.75 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",187.0,27.96 g,8.34 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",202.0,28.28 g,9.83 g,0.00 g
"lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",264.0,16.58 g,21.45 g,0.00 g
"lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",244.0,17.07 g,18.96 g,0.00 g
"beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",163.0,22.43 g,8.17 g,0.00 g
"beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",181.0,32.96 g,5.44 g,0.00 g
"beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",197.0,33.55 g,6.94 g,0.00 g
"beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib",249.0,27.27 g,14.74 g,0.00 g
"lamb, roasted, cooked, separable lean only, whole (shank and sirloin), leg, frozen, imported, new zealand",181.0,27.68 g,7.01 g,0.00 g
"lamb, raw, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",134.0,20.21 g,5.28 g,0.00 g
"beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",191.0,19.90 g,12.40 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",284.0,24.85 g,19.78 g,0.00 g
"beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak/roast",244.0,18.85 g,18.73 g,0.00 g
"beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",174.0,28.79 g,5.71 g,0.00 g
"beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",160.0,29.24 g,3.91 g,0.00 g
"beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",132.0,23.03 g,4.40 g,0.00 g
"beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",122.0,23.05 g,3.35 g,0.00 g
"beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",355.0,23.01 g,28.51 g,0.00 g
"beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",305.0,25.48 g,22.58 g,0.00 g
"beef, raw, separable lean and fat, boneless, top loin steak/roast, loin, grass-fed, imported, australian",199.0,19.90 g,13.17 g,0.11 g
"lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",209.0,18.47 g,14.42 g,0.00 g
"beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye country-style ribs",205.0,18.97 g,14.32 g,0.00 g
"beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin",189.0,29.30 g,7.09 g,0.00 g
